id,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,number_of_reviews_ltm,host_is_superhost,accommodates,bedrooms,beds,review_scores_rating,instant_bookable,log_price
31840,Centro Storico,43.77709,11.25216,Private room,147.0,174,41,,2.0,1.0,1.0,4.67,t,4.990432586778736
32180,Centro Storico,43.76832,11.24348,Entire home/apt,121.0,42,7,t,4.0,2.0,3.0,4.76,f,4.795790545596741
39115,Centro Storico,43.77525,11.25258,Private room,77.0,88,8,f,2.0,1.0,1.0,4.52,f,4.343805421853684
39822,Centro Storico,43.76742,11.24378,Entire home/apt,91.0,37,6,f,4.0,2.0,2.0,4.5,f,4.51085950651685
44781,Centro Storico,43.76417541503906,11.24618434906006,Entire home/apt,197.0,452,36,t,4.0,1.0,2.0,4.86,f,5.2832037287379885
46523,Centro Storico,43.77704,11.25217,Private room,113.0,297,33,,1.0,1.0,1.0,4.67,t,4.727387818712341
46524,Centro Storico,43.777,11.25216,Private room,168.0,163,49,,3.0,1.0,2.0,4.74,t,5.123963979403259
47498,Centro Storico,43.77386,11.25028,Private room,87.0,557,35,t,3.0,1.0,1.0,4.59,f,4.465908118654584
48372,Centro Storico,43.77525,11.25258,Private room,80.0,40,12,f,1.0,1.0,1.0,4.6,f,4.382026634673881
57542,Centro Storico,43.77236,11.24787,Entire home/apt,123.0,152,9,t,4.0,1.0,1.0,4.57,f,4.812184355372417
57644,Centro Storico,43.77713,11.26182,Entire home/apt,139.0,152,32,t,4.0,1.0,4.0,4.83,t,4.9344739331306915
57767,Centro Storico,43.76728,11.25066,Entire home/apt,243.0,181,37,t,8.0,3.0,3.0,4.88,t,5.493061443340548
57859,Centro Storico,43.77613,11.25492,Entire home/apt,140.0,230,11,t,3.0,1.0,1.0,4.72,t,4.941642422609304
60838,Centro Storico,43.77263,11.26316,Entire home/apt,138.0,123,4,t,4.0,2.0,2.0,4.92,f,4.927253685157205
64023,Centro Storico,43.77089,11.25966,Entire home/apt,105.0,244,21,t,2.0,1.0,1.0,4.84,t,4.653960350157523
67725,Centro Storico,43.77525,11.25258,Private room,98.0,13,2,f,3.0,1.0,3.0,4.08,f,4.584967478670572
68273,Centro Storico,43.77931,11.25805,Entire home/apt,173.0,49,9,f,3.0,1.0,1.0,4.98,t,5.153291594497779
70885,Centro Storico,43.77525,11.25258,Private room,105.0,37,3,f,2.0,1.0,1.0,4.38,f,4.653960350157523
73739,Isolotto Legnaia,43.76988,11.23978,Entire home/apt,95.0,48,2,f,4.0,1.0,2.0,4.58,t,4.553876891600541
74682,Centro Storico,43.77243,11.24519,Entire home/apt,106.0,1196,84,t,2.0,1.0,1.0,4.75,f,4.663439094112067
77570,Centro Storico,43.77272,11.25914,Entire home/apt,246.0,854,72,,4.0,2.0,3.0,4.93,f,5.5053315359323625
80693,Centro Storico,43.77556,11.26009,Entire home/apt,378.0,11,0,f,6.0,2.0,3.0,4.45,t,5.934894195619588
80694,Centro Storico,43.77556,11.26009,Entire home/apt,327.0,26,0,f,6.0,2.0,3.0,4.32,t,5.7899601708972535
81606,Centro Storico,43.7736,11.25881,Entire home/apt,140.0,7,0,f,6.0,2.0,6.0,4.57,f,4.941642422609304
82478,Centro Storico,43.77551,11.25912,Entire home/apt,117.0,18,2,f,2.0,1.0,4.0,4.61,f,4.762173934797756
82496,Centro Storico,43.7755,11.25826,Entire home/apt,126.0,1,0,f,4.0,2.0,4.0,3.0,f,4.836281906951478
82626,Centro Storico,43.77525,11.25258,Private room,76.0,20,0,f,2.0,1.0,2.0,4.45,f,4.330733340286331
83045,Centro Storico,43.76807,11.25997,Entire home/apt,496.0,257,15,f,10.0,5.0,5.0,4.7,f,6.206575926724928
83281,Centro Storico,43.76947,11.254953,Entire home/apt,99.0,130,45,t,2.0,1.0,1.0,4.88,f,4.59511985013459
84726,Centro Storico,43.76207,11.24275,Entire home/apt,107.0,118,3,f,3.0,1.0,1.0,4.65,t,4.672828834461906
84829,Centro Storico,43.77382,11.2573,Entire home/apt,143.0,182,27,t,4.0,1.0,2.0,4.96,f,4.962844630259907
89856,Centro Storico,43.76801,11.26212,Entire home/apt,203.0,179,1,t,4.0,2.0,3.0,4.85,f,5.313205979041787
90557,Campo di Marte,43.77017,11.27702,Entire home/apt,97.0,121,16,t,2.0,1.0,4.0,4.88,f,4.574710978503383
106407,Centro Storico,43.76977,11.26376,Entire home/apt,414.0,41,0,f,8.0,4.0,6.0,4.4,t,6.025865973825314
